,Question,subject_Chemistry,subject_Physics
668,"When a glass rod is rubbed with a silk cloth, charges appear on both. How does this phenomenon demonstrate the law of conservation of charge?",0.0,1.0
669,"What is the force on a charge of 1 mC placed at the centre of a square with charges qA = 2 mC, qB = â€“5 mC, qC = 2 mC, and qD = â€“5 mC at the corners, each side of the square being 10 cm?",0.0,1.0
670,Why can't an electrostatic field line have sudden breaks?,0.0,1.0
671,Explain why two electrostatic field lines never cross each other at any point.,0.0,1.0
672,What is the electric field at the midpoint of two opposite charges of equal magnitude?,0.0,1.0
673,"If a negative test charge of magnitude 1.5 Ã— 10â€“9 C experiences a force of 3 Ã— 10â€“3 N in an electric field, what is the strength of the electric field?",0.0,1.0
674,"Calculate the electric dipole moment of the system described, with charges qA = 2.5 Ã— 10â€“7 C and qB = â€“2.5 Ã— 10â€“7 C located at points A: (0, 0, â€“15 cm) and B: (0,0, +15 cm), respectively.",0.0,1.0
675,What is the magnitude of the torque acting on an electric dipole with a dipole moment of 4 Ã— 10^-9 C m aligned at 30Â° with a uniform electric field of magnitude 5 Ã— 10^4 N/C?,0.0,1.0
676,"If a polythene piece acquires a negative charge of 3 Ã— 10^-7 C after being rubbed with wool, estimate the number of electrons transferred.",0.0,1.0
677,Explain whether there is a transfer of mass from wool to polythene when the polythene acquires a negative charge of 3 Ã— 10^-7 C after being rubbed with wool.,0.0,1.0
678,"What is the electrostatic force between two charges of 6.5 Ã— 10^-7 C each, separated by a distance of 50 cm?",0.0,1.0
679,"If the charges in the previous question are doubled and the distance between them is halved, what is the new electrostatic force?",0.0,1.0
680,"In a uniform electrostatic field, three charged particles leave tracks. Particle A has a charge-to-mass ratio of 2 C/kg, particle B has 5 C/kg, and particle C has 1 C/kg. Which particle has the highest charge-to-mass ratio, and how would their tracks compare?",0.0,1.0
681,"What does the notation ""2024-25"" represent?",0.0,1.0
682,"If an event starts in 2024 and ends in 2025, how many years does the event last?",0.0,1.0
683,"Calculate the total number of days in the time period ""2024-25,"" assuming neither year is a leap year.",0.0,1.0
684,"What is the electric flux through a square of 10 cm on a side whose plane is parallel to the yz plane, given a uniform electric field E = 3 Ã— 10^3 Ã® N/C?",0.0,1.0
685,What is the electric flux through the same square if the normal to its plane makes a 60Â° angle with the x-axis?,0.0,1.0
686,What is the net flux of the same uniform electric field through a cube of side 20 cm oriented so that its faces are parallel to the coordinate planes?,0.0,1.0
687,What is the net charge inside the box if the net outward flux through its surface is 8.0 Ã— 10Â³ NmÂ²/C?,0.0,1.0
688,"If the net outward flux through the surface of the box were zero, could you conclude that there were no charges inside the box? Why or why not?",0.0,1.0
689,A point charge +10 mC is a distance 5 cm directly above the centre of a square of side 10 cm. What is the electric flux through the square?,0.0,1.0
690,What is the net electric flux through a cubic Gaussian surface with a side length of 9.0 cm if a point charge of 2.0 mC is at the center?,0.0,1.0
691,"If the radius of a spherical Gaussian surface is doubled, what happens to the electric flux passing through it, assuming the charge enclosed remains the same?",0.0,1.0
692,A point charge causes an electric flux of -1.0 Ã— 10^3 NmÂ²/C to pass through a spherical Gaussian surface of 10.0 cm radius centred on the charge. What is the value of the charge enclosed?,0.0,1.0
693,What is the formula for electric flux passing through a surface?,0.0,1.0
694,Calculate the electric flux passing through a spherical surface of radius 20 cm if the electric field at that radius is 1.5 Ã— 10Â³ N/C.,0.0,1.0
695,"Using Gauss's Law, determine the charge enclosed within a spherical surface of radius 20 cm if the electric flux passing through the surface is 753 N mÂ²/C.",0.0,1.0
696,What is the total charge on the conducting sphere?,0.0,1.0
697,Calculate the electric flux leaving the surface of the sphere.,0.0,1.0
698,Determine the linear charge density of an infinite line charge that produces an electric field of \( 9 \times 10^4 \) N/C at a distance of 2 cm.,0.0,1.0
699,What is the electric field in the outer region of the first plate?,0.0,1.0
700,How does the electric field between the plates differ from the electric field in the outer regions of the plates?,0.0,1.0
701,"If the distance between the plates is doubled, how does the electric field between the plates change, assuming the charge density remains constant?",0.0,1.0
702,What is the phenomenon that causes a spark when you take off synthetic clothes in dry weather?,0.0,1.0
703,Explain why you might experience an electric shock when opening the door of a car.,0.0,1.0
704,"Describe the process that leads to the lightning we see during thunderstorms, and how it relates to electric charges and fields.",0.0,1.0
705,What is the primary focus of electrostatics?,0.0,1.0
706,Explain the concept of static electricity and how it is generated.,0.0,1.0
707,Describe the relationship between static charges and the electric field they produce.,0.0,1.0
708,What is the phenomenon called when electrons are transferred between two materials that are rubbed together?,0.0,1.0
709,Explain why a rubbed balloon can stick to a wall.,0.0,1.0
710,Describe the process by which a Van de Graaff generator creates a large static charge.,0.0,1.0
711,What is the term for the study of electrical charges at rest?,0.0,1.0
712,"When a glass rod is rubbed with wool, what type of charge do each of the materials acquire?",0.0,1.0
713,"Explain why two glass rods rubbed with wool repel each other, while a glass rod rubbed with wool attracts the wool.",0.0,1.0
714,What is the name of the force that causes two plastic rods rubbed with cat's fur to repel each other?,0.0,1.0
715,"If a plastic rod attracts a glass rod, what can we infer about the charges on the two rods?",0.0,1.0
716,"Explain why the glass rod repels the fur, using the concept of charge transfer.",0.0,1.0
717,What are the two types of electric charges?,0.0,1.0
718,Explain what happens when a glass rod is rubbed with silk in terms of electric charge.,0.0,1.0
719,Why do like charges repel and unlike charges attract each other?,0.0,1.0
720,What happens to the charges when an electrified glass rod is brought into contact with the silk it was rubbed against?,0.0,1.0
721,Explain why the glass rod and silk no longer attract each other after being brought back into contact.,0.0,1.0
722,"Based on the principle of charge conservation, what can you infer about the total charge of the system consisting of the glass rod and silk before and after they are brought into contact?",0.0,1.0
723,What are the two types of electric charges?,0.0,1.0
724,Explain what happens when a positively charged object is brought near a negatively charged object.,0.0,1.0
725,Why is the charge on a glass rod considered positive and the charge on a plastic rod considered negative?,0.0,1.0
726,What happens when two positively charged rods are brought close to each other?,0.0,1.0
727,"If a negatively charged rod is brought near a neutral object, what happens to the charges in the neutral object?",0.0,1.0
728,"Explain why a charged rod can attract small pieces of paper, even though the paper is electrically neutral.",0.0,1.0
729,What happens to the gold leaves in an electroscope when a positively charged object touches the metal knob?,0.0,1.0
730,"If an object with a negative charge touches the metal knob of an electroscope, what will happen to the gold leaves? Explain why.",0.0,1.0
731,"How can you use an electroscope to determine if an object is neutrally charged, positively charged, or negatively charged?",0.0,1.0
732,What are the fundamental particles that give rise to electric forces in matter?,0.0,1.0
733,Explain why materials are normally electrically neutral despite containing charges.,0.0,1.0
734,Describe how electric forces contribute to the phenomenon of surface tension in liquids.,0.0,1.0
735,What are the two types of charges that a body can have?,0.0,1.0
736,Explain how a neutral body can be charged positively.,0.0,1.0
737,Describe the process of charging a body by induction and explain the distribution of charges on the body during this process.,0.0,1.0
738,What happens to the charge of a glass rod when it is rubbed with silk?,0.0,1.0
739,Explain why the total charge is conserved when a glass rod is rubbed with silk.,0.0,1.0
740,Calculate the number of electrons transferred if a glass rod acquires a charge of +1.6 x 10^-19 Coulombs after being rubbed with silk.,0.0,1.0
741,Which of the following is a good conductor of electricity?,0.0,1.0
742,Explain why glass is considered an insulator.,0.0,1.0
743,"Compare and contrast the electrical properties of conductors and insulators, providing examples of each.",0.0,1.0
744,What happens to a charge when it is placed on a conductor?,0.0,1.0
745,Explain why a nylon comb gets electrified when rubbed against dry hair.,0.0,1.0
746,Compare and contrast the behavior of charges on conductors and insulators. Provide an example of each.,0.0,1.0
747,"What are semiconductors, and how do they differ from conductors and insulators?",0.0,1.0
748,Name two common examples of semiconductor materials.,0.0,1.0
749,Explain the concept of doping in semiconductors and how it affects their electrical properties.,0.0,1.0
750,What are the two types of electric charge?,0.0,1.0
751,"Why does a metal rod with a wooden or plastic handle show signs of charging when rubbed, but not when its metal part is touched?",0.0,1.0
752,Explain why the effects of positive and negative charges tend to cancel each other out.,0.0,1.0
753,What is a point charge?,0.0,1.0
754,"If a system contains three point charges of +2Î¼C, -3Î¼C, and +5Î¼C, what is the total charge of the system?",0.0,1.0
755,"Explain why the concept of a point charge is useful in electrostatics, and give an example of a situation where it might be applied.",0.0,1.0
756,"What is the total charge of a system that contains three charges: +2 C, -3 C, and +4 C?",0.0,1.0
757,"If a system has four charges: +5 C, -2 C, +3 C, and -1 C, what is the total charge of the system?",0.0,1.0
758,"Explain the difference between the properties of mass and electric charge, and provide an example of a system where the total charge is zero but the total mass is not zero.",0.0,1.0
759,"What is the total charge of a system containing the charges +3, -2, +1, and -4 in arbitrary units?",0.0,1.0
760,"If a system initially has charges of +5, -3, and +2, and then a charge of -4 is added, what is the new total charge of the system?",0.0,1.0
761,"In a closed system, two objects initially have charges of +8 and -6. If 3 units of charge are transferred from the positively charged object to the negatively charged object, what are the new charges on each object?",0.0,1.0
762,"If you rub a balloon on your hair, the balloon becomes negatively charged. What happens to the charge on your hair?",0.0,1.0
763,"In an isolated system, a charge of +5 C is transferred from object A to object B. If object A initially had a charge of +10 C, what is the final charge of object B?",0.0,1.0
764,Explain why the following process is impossible in an isolated system: A charge of +2 C and a charge of -3 C combine to form a total charge of -6 C.,0.0,1.0
765,What is the primary function of an electroscope?,0.0,1.0
766,Explain why the leaves of a gold leaf electroscope move apart when a charged object is brought near it.,0.0,1.0
767,Describe how you could use an electroscope to determine if an object is positively or negatively charged.,0.0,1.0
768,What is the basic unit of electric charge?,0.0,1.0
769,Explain why the total charge is conserved when a neutron turns into a proton and an electron.,0.0,1.0
770,"If a body has a charge of -20e, how many electrons has it gained or lost compared to its neutral state?",0.0,1.0
771,What is the basic unit of electric charge?,0.0,1.0
772,Explain the concept of quantization of electric charge.,0.0,1.0
773,"If an object has a charge of -3e, what does this indicate about the number of electrons and protons in the object?",0.0,1.0
774,What is the unit of electric charge in the SI system?,0.0,1.0
775,Who experimentally demonstrated the quantization of charge and in what year?,0.0,1.0
776,Explain how the quantization of charge is related to the elementary charge and provide its approximate value.,0.0,1.0
777,What is the charge of one electron in coulombs?,0.0,1.0
778,How many electrons are there in a charge of -1 C?,0.0,1.0
779,"If a current of 2 amperes flows through a wire for 5 seconds, what is the total charge that has flowed through the wire in coulombs?",0.0,1.0
780,What is the smallest possible non-zero charge that an object can have?,0.0,1.0
781,"If an object has 12 protons and 10 electrons, what is the total charge of the object in terms of 'e'?",0.0,1.0
782,"Explain why the charge of an object can never be a fraction of 'e', such as 0.5e or 1.7e.",0.0,1.0
783,What is the phenomenon where electric charge exists in discrete packets called?,0.0,1.0
784,Why does electric charge appear to be continuous at the macroscopic level?,0.0,1.0
785,Compare the concept of charge quantization with a geometrical analogy mentioned in the text. How does this analogy help explain the macroscopic observation of electric charge?,0.0,1.0
786,"What does the notation ""2024-25"" represent?",0.0,1.0
787,"If an object is moving at a constant speed and covers a distance of 1000 kilometers in the time period ""2024-25,"" what is the average speed of the object if the period is exactly one year?",0.0,1.0
788,"In the context of special relativity, how would the time period ""2024-25"" be perceived by an observer traveling at a speed close to the speed of light compared to a stationary observer?",0.0,1.0
789,What is the magnitude of the electronic charge?,0.0,1.0
790,"If a total charge of 1 mC is distributed continuously over a surface, approximately how many electronic charges does it contain?",0.0,1.0
791,Explain why the concept of continuous charge distribution is useful in electrostatics. Provide an example of a situation where it would be applicable.,0.0,1.0
792,"What does the term ""quantization of electric charge"" mean?",0.0,1.0
793,Why is the quantization of electric charge not noticeable at the macroscopic level?,0.0,1.0
794,In what scenarios would the quantization of electric charge become significant and why?,0.0,1.0
795,How much charge is transferred by 10^9 electrons?,0.0,1.0
796,"If 10^10 electrons move from one body to another every second, how long will it take to transfer 1 C of charge?",0.0,1.0
797,"If a current of 1 A (Ampere) is defined as 1 C/s, how many electrons flow past a point in a wire per second to create a current of 1 A?",0.0,1.0
798,How many electrons are there in one coulomb of charge?,0.0,1.0
799,"If a body loses 109 electrons every second, how many years would it take to lose one coulomb of charge?",0.0,1.0
800,"Calculate the total positive and negative charge in a cup of water, assuming the cup contains 250 mL of water and the number of electrons in water is similar to that in copper (2.5 Ã— 10^24 electrons per cubic centimeter).",0.0,1.0
801,How many moles of water are in a 250g cup of water?,0.0,1.0
802,Calculate the total number of hydrogen atoms in a 250g cup of water.,0.0,1.0
803,"What is the total positive charge, in Coulombs, of all the protons in a 250g cup of water? (Given: charge of one proton = 1.6 Ã— 10^-19 C)",0.0,1.0
804,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
805,Two charges of 2 C and 3 C are separated by a distance of 0.5 m. What is the force between them?,0.0,1.0
806,"Three charges of 1 C, 2 C, and 3 C are placed at the vertices of an equilateral triangle with sides of length 1 m. What is the net force on the charge of 2 C?",0.0,1.0
807,"What is the force between two charges of 1 Coulomb each, separated by a distance of 1 meter in a vacuum?",0.0,1.0
808,"If the distance between two charges of 2 Coulombs each is doubled, by what factor does the force between them change?",0.0,1.0
809,"Two charges, \( q_1 \) and \( q_2 \), are separated by a distance \( r \). If \( q_1 \) is doubled and \( q_2 \) is halved, and the distance \( r \) is also doubled, what happens to the force between the charges?",0.0,1.0
810,What is the force between two charges of 3 C and 4 C placed 0.5 m apart? (Use k = 8.99 x 10^9 N m^2/C^2),0.0,1.0
811,Two charges of 2 C and -3 C are placed 1 m apart. What is the force between them and is it attractive or repulsive?,0.0,1.0
812,"Three charges of 1 C, 2 C, and -3 C are placed at the vertices of an equilateral triangle with sides of length 1 m. What is the net force on the charge of 1 C?",0.0,1.0
813,"If a metallic sphere with a charge of 8 Coulombs is brought into contact with an identical uncharged sphere, what will be the charge on each sphere after they are separated?",0.0,1.0
814,"A charged metallic sphere with an initial charge of 16 Coulombs is repeatedly brought into contact with identical uncharged spheres. After the third contact, what will be the charge on the original sphere?",0.0,1.0
815,Suppose a charged metallic sphere with an initial charge of Q is brought into contact with n identical uncharged spheres sequentially. Derive a general formula for the charge on the original sphere after the n-th contact.,0.0,1.0
816,What are the two variables that Coulomb varied in his experiments to establish his law?,0.0,1.0
817,State the mathematical formula for Coulomb's Law.,0.0,1.0
818,Explain why Coulomb's Law is considered an inverse-square law. What does this mean in the context of the relationship between force and distance?,0.0,1.0
819,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
820,Two charges of 2 C and 3 C are separated by a distance of 0.5 m. What is the force between them?,0.0,1.0
821,"In a hypothetical universe where Coulomb's constant is k' = 5 Ã— 10^8 N m^2/C^2, what would be the force between two electrons separated by a distance of 10^-10 m? (The charge of an electron is approximately 1.6 Ã— 10^-19 C.)",0.0,1.0
822,"What is the force of repulsion between two charges of 1 Coulomb each, placed 1 meter apart in a vacuum?",0.0,1.0
823,Two charges of 3 Coulombs and 4 Coulombs are placed 2 meters apart. What is the force between them?,0.0,1.0
824,At what distance should two charges of 2 Coulombs each be placed so that the force of repulsion between them is 3.6 x 10^10 N?,0.0,1.0
825,What is the formula for Coulomb's Law?,0.0,1.0
826,Describe the principle behind the torsion balance used by Coulomb.,0.0,1.0
827,"If two charges of +2 Î¼C and -2 Î¼C are placed 1 meter apart, what is the electrostatic force between them? (Use \( k_e = 8.99 \times 10^9 \, \text{N m}^2/\text{C}^2 \))",0.0,1.0
828,What is the formula for Coulomb's Law?,0.0,1.0
829,"If the distance between two charges is doubled, by what factor does the force between them change according to Coulomb's Law?",0.0,1.0
830,Explain how Coulomb used a torsion balance to determine the inverse square law of electric attraction or repulsion.,0.0,1.0
831,"What does the notation ""2024-25"" typically represent?",0.0,1.0
832,"If a project is scheduled to run from ""2024-25,"" how many years does this span?",0.0,1.0
833,"Explain the significance of the notation ""2024-25"" in the context of an academic year.",0.0,1.0
834,"What is the force between two charges of 1 mC each, separated by a distance of 1 meter?",0.0,1.0
835,Calculate the electric force between an electron and a proton separated by a distance of 5.29 Ã— 10^-11 meters (Bohr radius). Given that the charge of an electron is -1.6 Ã— 10^-19 C and the charge of a proton is +1.6 Ã— 10^-19 C.,0.0,1.0
836,Derive the formula for the electric field due to a point charge using Coulomb's Law.,0.0,1.0
837,What is the relationship between the vectors r12 and r21?,0.0,1.0
838,"If the magnitude of r12 is 5 units, what is the magnitude of r21?",0.0,1.0
839,"If q1 and q2 are equal in magnitude but opposite in sign, and F12 is the force exerted by q2 on q1, what is the force exerted by q1 on q2 (F21)?",0.0,1.0
840,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
841,Two charges of 3 Î¼C and -5 Î¼C are separated by a distance of 0.5 m. What is the force between them?,0.0,1.0
842,"Three charges are arranged in a line: q1 = 2 Î¼C at x = 0 m, q2 = -3 Î¼C at x = 0.1 m, and q3 = 4 Î¼C at x = 0.2 m. What is the net force on q2?",0.0,1.0
843,What is the direction of the force between two positive charges?,0.0,1.0
844,"If a charge q1 = +2 Î¼C is placed at the origin and a charge q2 = -1 Î¼C is placed at a distance of 1 meter along the x-axis, what is the direction of the force on q2 due to q1?",0.0,1.0
845,"Derive the expression for the electrostatic force between two charges q1 and q2 separated by a distance r, and explain how the direction of the force is determined by the signs of the charges.",0.0,1.0
846,"What does the notation ""2024-25"" typically represent?",0.0,1.0
847,"If a school year is denoted as ""2024-25,"" what is the duration of this school year?",0.0,1.0
848,"In a financial context, what might the notation ""2024-25"" signify, and why is this important for budget planning?",0.0,1.0
849,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
850,Two charges of 3 ÂµC and 5 ÂµC are separated by a distance of 20 cm. Calculate the force between them.,0.0,1.0
851,"Three charges are arranged in a line: q1 = 2 ÂµC at x = 0, q2 = -3 ÂµC at x = 10 cm, and q3 = 4 ÂµC at x = 20 cm. Calculate the net force on q2.",0.0,1.0
852,What is the relationship between the electrostatic force and the distance between two charges according to Coulomb's Law?,0.0,1.0
853,"If the distance between two charges is doubled, by what factor does the electrostatic force between them change?",0.0,1.0
854,"Compare and contrast the mathematical formulations of Coulomb's Law for electrostatic force and Newton's Law for gravitational force. How are they similar, and how do they differ?",0.0,1.0
855,What is the formula for the electrostatic force between two point charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
856,"Calculate the electrostatic force between an electron and a proton when they are \( 1 \times 10^{-10} \) meters apart. (Given: charge of an electron \( q_e = -1.6 \times 10^{-19} \) C, charge of a proton \( q_p = 1.6 \times 10^{-19} \) C, \( \epsilon_0 = 8.85 \times 10^{-12} \) F/m)",0.0,1.0
857,"Estimate the acceleration of an electron due to the electrostatic force of attraction between it and a proton when they are \( 1 \times 10^{-10} \) meters apart. (Given: mass of an electron \( m_e = 9.11 \times 10^{-31} \) kg, mass of a proton \( m_p = 1.67 \times 10^{-27} \) kg)",0.0,1.0
858,What is the formula for the electric force between two charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
859,Calculate the ratio of the electric force to the gravitational force between a proton and an electron.,0.0,1.0
860,"Explain why the electric force is much stronger than the gravitational force at the atomic scale, and discuss the implications of this for the stability of atoms.",0.0,1.0
861,What is the nature of the gravitational force between two protons?,0.0,1.0
862,"Calculate the ratio of the electrical force to the gravitational force between two protons in a nucleus, given that Fe = 230 N and FG = 1.9 Ã— 10â€“34 N.",0.0,1.0
863,Explain why the electrical force between two protons is repulsive while the gravitational force is attractive.,0.0,1.0
864,"What does the notation ""2024-25"" typically represent?",0.0,1.0
865,"If a school year is denoted as ""2024-25,"" when does it usually start and end?",0.0,1.0
866,"Explain why the notation ""2024-25"" is useful in contexts such as academic or fiscal years.",0.0,1.0
867,What is the formula for the electric force between two charged particles?,0.0,1.0
868,"If the distance between the proton and the electron is doubled, what will be the new magnitude of the electric force?",0.0,1.0
869,Calculate the acceleration of a proton when it is subjected to the same electric force calculated in the text. The mass of a proton is approximately \( 1.67 \times 10^{-27} \) kg.,0.0,1.0
870,What is the acceleration of an electron under the influence of a proton if the Coulomb force between them is 8.2 Ã— 10^-8 N? (Mass of an electron = 9.11 Ã— 10^-31 kg),0.0,1.0
871,Compare the acceleration due to gravity with the acceleration of an electron caused by the Coulomb force from a proton (given the force is 2.3 Ã— 10^-8 N). Why is the effect of the gravitational field considered negligible?,0.0,1.0
872,"Two charged metallic spheres A and B are suspended by insulating threads. If the charge on sphere A is doubled, how will the acceleration of sphere B change, assuming the initial acceleration of sphere B is solely due to the Coulomb force exerted by sphere A?",0.0,1.0
873,"What does the text ""2024-25"" represent?",0.0,1.0
874,"If an event is scheduled for ""2024-25,"" what is the duration of this event in years?",0.0,1.0
875,"If a process starts at the beginning of 2024 and ends at the beginning of 2025, how many days does this process last, assuming no leap year?",0.0,1.0
876,What is the fundamental reason why spheres A and B repel each other?,0.0,1.0
877,"If the distance between spheres A and B is doubled, by what factor would the electrostatic force between them change?",0.0,1.0
878,"Explain why the repulsion of sphere A is noted to be different when sphere B is brought closer, even though both spheres were initially touched by uncharged spheres C and D.",0.0,1.0
879,"If the charge on sphere A is doubled, how will the force on sphere B change?",0.0,1.0
880,"If the distance between spheres A and B is halved, how will the force on each sphere change?",0.0,1.0
881,"If sphere A has a charge of 3 ÂµC and sphere B has a charge of -2 ÂµC, and they are 0.1 m apart, what is the magnitude of the electrostatic force between them?",0.0,1.0
882,What happens to the charge on sphere A when it touches an identical but uncharged sphere C?,0.0,1.0
883,"If the separation between spheres A and B is halved, how does the electrostatic force between them change?",0.0,1.0
884,"Explain why the electrostatic force between spheres A and B remains the same when the distance between them is halved, using the formula for electrostatic force.",0.0,1.0
885,What principle allows us to calculate the total electric force on a charge due to multiple other charges?,0.0,1.0
886,"If there are three charges, q1, q2, and q3, what is the net force on q1 due to q2 and q3?",0.0,1.0
887,"In a system of four charges, q1, q2, q3, and q4, how would you determine the net force on q1 if the positions and magnitudes of all charges are known?",0.0,1.0
888,What is the principle of superposition in the context of electric forces?,0.0,1.0
889,"If three charges \( q_1 \), \( q_2 \), and \( q_3 \) are placed at different points, how would you calculate the total force on \( q_1 \) due to \( q_2 \) and \( q_3 \)?",0.0,1.0
890,"Consider a system of four charges \( q_1 \), \( q_2 \), \( q_3 \), and \( q_4 \). If the force on \( q_1 \) due to \( q_2 \) is \( \vec{F}_{12} \), due to \( q_3 \) is \( \vec{F}_{13} \), and due to \( q_4 \) is \( \vec{F}_{14} \), what is the total force on \( q_1 \)?",0.0,1.0
891,What principle allows us to add the electric forces from multiple charges to find the total force on a single charge?,0.0,1.0
892,"If there are three charges, q1, q2, and q3, and you want to find the force on q1 due to the other two charges, what steps would you take?",0.0,1.0
893,"In a system of four charges, q1, q2, q3, and q4, explain why the force on q1 due to q2 (F12) is not affected by the presence of q3 and q4.",0.0,1.0
894,What is the formula for the force between two charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
895,"If a charge \( q_1 \) experiences a force \( F_{12} \) due to charge \( q_2 \) and a force \( F_{13} \) due to charge \( q_3 \), what is the total force \( F_1 \) on \( q_1 \)?",0.0,1.0
896,"In a system of four charges \( q_1, q_2, q_3, \) and \( q_4 \), how would you calculate the total force on \( q_1 \) using the principle of superposition?",0.0,1.0
897,What is the principle of superposition in electrostatics?,0.0,1.0
898,"If there are three charges q1, q2, and q3, how would you calculate the total force on q1 due to the other two charges?",0.0,1.0
899,Explain why the principle of superposition is important in the study of electrostatics.,0.0,1.0
900,"What is the force between two charges of 1 Coulomb each, separated by a distance of 1 meter in a vacuum?",0.0,1.0
901,"Three charges of \( 2 \, \mu\text{C} \) each are placed at the vertices of an equilateral triangle with sides of 1 meter. What is the force on a charge of \( 3 \, \mu\text{C} \) placed at the centroid of the triangle?",0.0,1.0
902,Derive the expression for the electric field at a point due to a point charge using Coulomb's law and the definition of electric field.,0.0,1.0
903,What is the distance from the centroid to any vertex in an equilateral triangle with side length \( l \)?,0.0,1.0
904,"If the side length of an equilateral triangle is 6 units, what is the length of the altitude from any vertex to the midpoint of the opposite side?",0.0,1.0
905,Prove that the centroid of an equilateral triangle divides each median in the ratio 2:1.,0.0,1.0
906,What is the formula for the force between two charges according to Coulomb's Law?,0.0,1.0
907,"If the distance between two charges is doubled, by what factor does the force between them change?",0.0,1.0
908,Three identical charges of 2 ÂµC each are placed at the vertices of an equilateral triangle with sides of 1 m. What is the net force on one of the charges?,0.0,1.0
909,What is the resultant force on the charge q at vertex A due to the charges q at vertex B and -q at vertex C?,0.0,1.0
910,"If the system of charges is rotated through 60Â° about the center O, how does the resultant force on each charge change?",0.0,1.0
911,Calculate the magnitude of the resultant force on the charge q at vertex A if the side length of the equilateral triangle is d and the magnitude of each charge is q.,0.0,1.0
912,What is the formula for the force between two point charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
913,Explain why the parallelogram law is used to find the total force on a charge when multiple forces are acting on it.,0.0,1.0
914,"If three charges \( q_1 \), \( q_2 \), and \( q_3 \) are placed at the vertices of an equilateral triangle, and the forces between \( q_1 \) and \( q_2 \), and \( q_1 \) and \( q_3 \) are \( F_{12} \) and \( F_{13} \) respectively, what is the resultant force on \( q_1 \) if \( F_{12} = F_{13} = F \) and the angle between them is 120 degrees?",0.0,1.0
915,What is Coulomb's law and how does it relate to the forces between electric charges?,0.0,1.0
916,"If three charges are arranged in a triangle and the forces on each charge sum to zero, what principle is being demonstrated?",0.0,1.0
917,"Prove that the sum of the forces on the three charges is zero, given that Coulomb's law is consistent with Newton's third law.",0.0,1.0
918,What is the formula for the electric field E created by a point charge Q at a distance r?,0.0,1.0
919,"If a charge of +2 Î¼C is placed at the origin, what is the electric field strength at a point 5 cm away along the x-axis? (Given that k = 8.99 x 10^9 N m^2/C^2)",0.0,1.0
920,Explain why the electric field is a vector field and what information is conveyed by its direction and magnitude.,0.0,1.0
921,What is the electric field at a distance of 2 meters from a charge of 3 Coulombs?,0.0,1.0
922,"Two charges, Q1 = 4 Î¼C and Q2 = -2 Î¼C, are placed 5 cm apart. What is the electric field at a point midway between them?",0.0,1.0
923,A charge of 5 nC is placed at the origin. At what distance would the electric field strength be 1000 N/C?,0.0,1.0
924,What is the formula for the electric force between two charges \( Q \) and \( q \) separated by a distance \( r \)?,0.0,1.0
925,"If the electric field at a point due to a charge \( Q \) is given by \( E = \frac{1}{4 \pi \epsilon_0} \frac{Q}{r^2} \), what is the force experienced by a charge \( q \) placed at that point?",0.0,1.0
926,"Two charges, \( Q_1 = 5 \times 10^{-6} \) C and \( Q_2 = -3 \times 10^{-6} \) C, are separated by a distance of 0.1 meters. Calculate the electric force between them. (Given \( \frac{1}{4 \pi \epsilon_0} = 9 \times 10^9 \, \text{N m}^2/\text{C}^2 \))",0.0,1.0
927,What is the SI unit of electric field?,0.0,1.0
928,A charge of 2 Coulombs experiences a force of 10 Newtons in an electric field. What is the strength of the electric field?,0.0,1.0
929,"Two charges, Q and q, are separated by a distance r. If the electric field at the location of q due to Q is E, and the force experienced by q is F, prove that the force experienced by Q due to q is -F.",0.0,1.0
930,What is the electric field due to a charge of 5 Coulombs at a distance of 1 meter if a unit positive charge is placed at that point?,0.0,1.0
931,Two charges of +3 C and -3 C are placed 2 meters apart. What is the electric field at the midpoint between them?,0.0,1.0
932,"Three charges of +2 C, -4 C, and +6 C are placed at the vertices of an equilateral triangle with sides of length 1 meter. What is the net electric field at the centroid of the triangle?",0.0,1.0
933,What is the difference between a source charge and a test charge?,0.0,1.0
934,Why should the test charge (q) be small? What issue might arise if it is not?,0.0,1.0
935,Explain how the concept of a test charge can be used to define the electric field strength quantitatively.,0.0,1.0
936,What is the formula for the electric field in terms of force and charge?,0.0,1.0
937,Explain why a test charge (q) is made negligibly small when measuring the electric field.,0.0,1.0
938,"Describe a practical scenario where charges are held in place by unspecified forces, allowing us to measure the electric field without disturbing the original charge distribution.",0.0,1.0
939,What is the formula for the electric field E created by a point charge Q at a distance r?,0.0,1.0
940,Explain why the electric field is independent of the test charge q used to measure it.,0.0,1.0
941,Calculate the electric field strength at a distance of 10 cm from a charge of 5 ÂµC.,0.0,1.0
942,What is the direction of the electric field around a positive charge?,0.0,1.0
943,"If a negative charge is placed in an electric field generated by a positive charge, in which direction will the negative charge move?",0.0,1.0
